zip,population,population_density,median_household_income,mean_household_income,land_area,water_area,white,black,asian,hispanic,male_population,median_age
93635,38776,144.8,48542,61533,259.19,8.53,59.4,3.6,3.1,64.1,50.1,30.2
94002,25992,4582.5,102611,130855,5.66,0.01,67.5,1.6,19.9,11.7,48.8,40.9
94005,4282,937.3,79171,113108,4.4,0.17,60.2,1.9,25.3,16.6,50.2,41.7
94010,40737,3416.6,96786,175786,11.84,0.09,67.6,1,22.4,10.8,47.9,42.3
94014,47014,7454.3,68495,84273,6.31,0,24.9,3.5,49,34.2,49.6,37.5
94015,60927,10575.5,76954,91355,5.76,0,24,3.5,59,16.2,49.1,39.1
94019,18424,346.6,96172,131635,52.6,0.56,76.8,0.8,3.9,29.7,49.3,42.3
94020,1559,27.9,122024,142744,55.77,0.03,88.1,1.1,2.6,8.5,52.7,48.6
94021,192,42.4,91458,83749,4.53,0,88,1,3.1,15.6,49,38
94022,18500,1057.9,154243,234872,17.49,0,71,0.5,23.6,3.3,48.3,48.2
94024,22385,3065.8,166742,228696,7.3,0,69.3,0.5,24.7,4,48.9,46.3
94025,40526,3447.7,114149,171793,11.75,0,71,4.1,9.7,19,48.7,39
94027,7089,1355.6,218214,391327,5.2,0.03,80.5,1.1,13.2,4,49,48.3
94028,6534,425.8,162271,320475,15.24,0.11,89.4,0.4,5.9,4.7,49.5,50
94030,21536,6337.4,86364,108474,3.39,0.01,47.3,0.8,42.7,11.9,47.4,44.8
94037,2913,503.5,119537,128776,5.79,0,85.5,0.6,4.9,11.3,48.1,46
94038,3040,1929,80469,111481,1.58,0,73.6,0.8,3.8,29.2,49.8,43.1
94040,32996,8944.6,95072,123840,3.69,0,55.5,1.8,27.2,20.8,50.8,35.7
94041,13292,8688.8,87231,122034,1.53,0,59.9,2.2,21.6,24.8,51.6,35.3
94043,28358,2656.8,94038,118828,10.67,0,55.2,3.1,26,21,50.7,36.2
94044,37296,2542.8,96014,113061,14.67,0,64.9,2.6,19.4,16.8,48.9,41.5
94060,1554,21.2,101319,134588,72.95,0.34,63.4,1,0.9,51.6,54.3,38
94061,36245,9385.7,75033,99343,3.86,0,65,2.2,6.4,38.7,48.9,37
94062,25876,360.3,122260,192162,70.89,0.94,81.7,1.1,6.7,14.5,49.1,44.8
94063,30949,3906.3,51690,70811,6.82,1.1,46,2.9,4.9,71,53.4,31
94065,11359,3673.4,133981,155720,2.44,0.65,54,1.9,35.8,7.7,47.7,40.1
94066,41130,6706,78521,94655,6.13,0,49.5,2.3,25.4,29.2,49.3,38.8
94070,29166,4747.2,120579,155509,6.14,0,79.3,0.8,11.5,10,48.3,42.7
94074,214,11.5,162950,116295,18.54,0.03,87.9,0.5,5.6,9.4,56.5,43
94080,63975,6158.2,73927,90882,10.28,0.11,37.4,2.5,36.6,34,49.4,38.1
94085,21247,6087.9,94870,102730,3.49,0,39.9,2,34.3,36.8,52.5,32.1
94086,45697,10187.2,92931,111753,4.49,0,39.8,2.5,42,21.3,51.2,33.8
94087,54293,8248,110348,135069,6.58,0,47.2,1.4,43.1,9,49.2,38.8
94089,19245,3205,80625,96423,5.99,0.01,41.9,2.3,39.1,22.2,49.4,37.4
94102,31176,46472.4,22252,48334,0.67,0,45.4,13.9,25.4,18.9,59.9,40.9
94103,27170,20036.1,44145,73372,1.36,0,47.1,11,25.6,21.9,60.1,39.3
94104,406,5232.1,26223,96572,0.08,0,34.5,3,55.7,7.6,53.7,47.6
94105,5846,12966.2,142389,211655,0.37,0.08,56.7,2.2,34.9,5.9,56.2,35.5
94107,26599,14131.4,117556,150750,1.79,0.09,59.2,6.7,24.2,10.4,53.9,36.2
94108,13768,50982.6,33979,84788,0.27,0,35.3,1.9,57.8,5.9,48.3,43.8
94109,55984,43000.4,58915,93415,1.19,0.11,59.5,4,27.3,10.9,50.9,37.6
94110,69333,29756.1,79516,106657,2.33,0,58.5,3.7,12.8,38.4,52.5,36.2
94111,3713,6940.8,93393,137929,0.34,0.19,57.6,2.2,36.4,5.2,53.3,51.4
94112,79407,23605.5,72396,88251,3.36,0,26.4,4.2,49.6,29.2,49.6,39.8
94114,31124,21836.9,115734,151865,1.43,0,79.5,1.9,10.3,9.4,59.1,40.4
94115,33021,29595.7,73797,123781,1.12,0,60.8,12.5,19,7.9,47,36.9
94116,43698,16659,82648,111568,2.59,0.04,38.1,1.2,54.9,6.1,48.5,43.3
94117,39169,23202.4,91303,122381,1.69,0,73.7,6.2,11.1,10,50.8,33.8
94118,38319,19435.1,81545,127332,1.95,0.02,55.9,1.7,35.2,6.4,47.2,38.6
94121,41203,13268.2,72371,100179,3.08,0.02,45.8,1.7,45.7,6.1,48.1,42.4
94122,56023,23699.3,77889,99387,2.36,0,43,1.5,49,6.1,48.5,39.1
94123,23088,20863.4,107226,153773,1.02,0.09,84.3,0.8,10.5,5.4,46.1,35
94124,33996,5656.5,46692,66734,4.93,1.08,12.1,33.7,30.7,25,48.8,34.6
94127,19289,10872.7,128079,162704,1.77,0,60.4,3.4,28,8.9,50.2,45.6
94128,69,19.6,NA,NA,3.52,0.01,56.5,8.7,7.3,30.4,72.5,46.5
94129,3183,1377.8,121313,178646,2.3,0.01,80.1,2.2,7.9,7.8,52.3,30
94130,2880,3196.2,36553,66509,0.9,0,35.1,25.1,18.2,23,54.2,26.2
94131,26881,12806.1,94770,123938,2.08,0.02,67.3,4.6,18.5,12.6,52.3,42.3
94132,28129,7788.4,67943,89203,3.11,0.5,39.6,8.6,40.7,11.6,46.2,32.9
94133,26237,26110.9,46841,83652,0.76,0.25,41.4,2.2,51.8,5,49.2,43.9
94134,40798,16755.9,59690,77257,2.4,0.04,16.2,9.6,56.4,21.4,48.9,39.5
94158,4792,4075.2,64594,99614,0.66,0.52,47.6,3.7,40.5,7.3,54.7,33.1
94301,16995,7161.3,135709,228159,2.37,0,75.9,2,16.2,5,49.7,43.2
94303,45467,5230.1,76813,123603,7.96,0.73,39.8,10.9,15.4,41.8,49.8,32.4
94304,3627,556.6,104531,154392,6.5,0.02,65.6,1.9,27.5,4.8,48.1,39.6
94305,13862,2679.7,55543,119000,5.13,0.05,57.5,4.7,27.3,10.4,54.2,22.6
94306,26469,6322.1,111432,151297,4.19,0,60.6,2.1,29.5,7.8,48.9,41.4
94401,34429,8154.2,73023,92267,3.15,1.08,48,3.6,15.9,40.8,50.1,36.1
94402,23981,4933.6,108701,151964,4.86,0,68.3,1.2,18.5,14.7,48.5,42.2
94403,39642,6836.6,92123,116979,5.63,0.17,60.7,2,21.6,20.8,48.3,39.6
94404,33749,6943,114451,134831,4.26,0.6,46.9,1.9,43.5,6.9,48.1,39.5
94501,60212,5278.4,71096,90619,7.93,3.48,51.9,7.2,28.5,11.9,47.9,40
94502,13600,3514,115428,139217,2.68,1.19,45.6,3,43.2,6.7,47.8,44.9
94503,19681,1258.3,82205,97702,12.96,2.69,39.1,7.9,32.6,25.9,49,35.6
94505,13403,620.9,107972,129267,16.27,5.32,81.5,4.1,3.9,15.7,50.3,39.6
94506,22452,1194.3,164873,200408,18.79,0.01,71.9,1.6,20.9,6,48.5,43.4
94507,14889,1172.5,149973,215229,12.7,0,87,0.5,8.1,5.8,49.6,47.9
94508,3661,207.9,63393,81555,17.45,0.16,72.7,4.2,9.6,18.8,50.5,27.6
94509,62439,3505.1,54441,66067,16.43,1.38,55.1,13.9,6.1,35.7,48.8,33.8
94510,27088,865.1,88904,108949,27.95,3.36,72.5,5.6,11.1,12,48.1,42.9
94511,2137,384.1,33771,57414,5.56,0,86.2,1.9,2.2,13.1,53.5,52.8
94512,108,5.4,153359,136158,20.16,0.01,73.2,1.9,3.7,23.2,55.6,47
94513,54605,703.6,88219,100523,75.66,1.95,68.4,6.3,7.6,27.2,48.7,35.9
94514,1360,47.1,52031,62372,28.71,0.18,70.8,4.6,1.2,38.5,53.1,33
94515,7050,66.6,56688,92299,105.65,0.18,76.6,0.5,1.3,41.1,50.4,43.4
94516,211,241.3,98438,107126,0.87,0,89.1,1,5.7,1,55,43.6
94517,12385,216.5,115570,135099,57.22,0,84.7,1.5,6.1,9.5,49.1,45.1
94518,26778,4925.3,71663,88213,5.44,0,67.7,3.2,12,23,49.4,40.6
94519,18453,4220.8,71262,86652,4.37,0,70.4,2.7,9.3,24.5,49.9,38.5
94520,37208,3688,48116,59054,10.09,0,53.1,5.1,8.6,52.9,51.8,31.1
94521,41249,3182.2,81140,98747,12.96,0,70.9,2.8,13.3,17.6,48,41.1
94523,33569,4639.7,77117,100916,7.24,0,74.9,2.1,13.7,12.1,48.5,40.7
94525,3127,1021.5,81304,94581,2.35,0.71,79.8,4.9,3.5,15.8,48.9,45.7
94526,31102,2082.9,120571,157341,14.93,0,85.5,0.7,8.4,6.9,48.5,45.5
94528,964,411.1,219688,543285,2.34,0,93.1,NA,3.8,3.3,49,50.7
94530,23877,4944.9,78915,98556,4.83,0,53.4,7.8,27.2,11.2,48.1,43.6
94531,40290,3677.7,90448,100379,10.96,0,39.6,22.3,17.2,25.4,48.5,33.7
94533,69277,3187.3,55561,67361,21.6,0.13,42,17.7,12.7,32.8,49,33.1
94534,36416,456.6,95427,113566,79.16,0.6,55.2,11,19,16.8,49,39.3
94535,3793,993.3,52047,62841,3.81,0.01,64.4,12.2,7.2,15.6,56.1,22.1
94536,68790,4716,85196,101918,14.58,0,41.3,4,38.7,18.2,49.5,36.6
94538,61148,3675.3,81509,94143,16.46,0.18,36.9,4.1,41,22.3,50.2,34.4
94539,50031,1968.3,141319,158827,25.42,0,23.7,1.2,69.9,4.7,49.6,40.8
94541,61635,8269.1,55193,69123,7.43,0.02,40.4,14.6,12.7,45,49.6,34
94542,12717,2229.5,82658,106719,5.7,0,43.2,14.6,23.4,20.3,48.7,34.5
94544,73026,6664.8,62176,73695,10.96,0,33.1,11.2,19.6,46.3,49.6,32.3
94545,29707,1221,68965,86850,21.54,2.79,28.6,9.5,35.2,30.8,49.1,36.8
94546,42209,4357.9,71986,93089,9.42,0.26,63.1,5.9,16.6,18.8,47.9,41.2
94547,24092,3842.6,92320,107018,5.44,0.83,22.1,18.9,45.5,14.6,47.4,39
94548,412,146.6,54375,72306,2.76,0.05,85.2,1.7,1.5,28.4,55.6,42.5
94549,26864,1386.6,136868,177877,19.21,0.17,84.9,0.7,8.9,5.9,48.6,45.9
94550,46896,200.1,101315,124615,232.73,1.66,79.5,1.9,7.4,16.7,49.2,40.7
94551,36867,467,94353,108409,78.92,0.03,69.3,2.3,9.5,25.6,50.3,35.9
94552,14454,321.8,136303,151055,44.9,0.02,50.2,4.1,37.1,9.5,48.6,43.3
94553,47065,913.4,74708,90657,48.94,2.58,76.8,3.4,7.6,16.3,49.3,41.9
94555,34143,2621.8,109316,121076,11.61,1.41,22.1,3.7,63.5,9.4,49.6,36.3
94556,15229,1243.4,120051,162111,12.25,0,77,1.2,15.4,6,47.7,47
94558,66830,173,71599,97011,355.76,30.45,77.3,1,2.4,32.4,50.1,41.1
94559,27184,699.3,58692,77116,36.65,2.23,74.5,0.7,2.1,39.4,50.2,35.7
94560,42573,3078.4,84922,93994,13.81,0.02,41.3,4.7,27.2,35.2,49.8,35.4
94561,36515,2039.6,75605,88881,16.93,0.98,64.3,7.2,6.2,34.7,49.8,32.2
94563,17672,1022.8,161567,211525,17.26,0.01,82.3,0.8,11.5,4.6,48.6,47.8
94564,18287,3024,77476,92608,5.59,0.46,46.3,13.4,22.8,21.9,47.5,42.6
94565,84641,2497.5,55709,70202,30.2,3.69,37.8,16.1,14.2,45.6,49,31.8
94566,40884,2068.8,119764,149611,19.61,0.15,71.9,1.4,18.5,10.7,48.7,42.2
94567,623,4.7,57074,73053,131.41,2.42,83.3,0.2,1.4,25.2,48.5,39.8
94568,46016,3009.7,112717,126606,15.29,0,51.4,9.5,26.8,14.5,52.1,35.3
94569,198,83.7,92743,82591,2.37,0,89.4,1.5,3.5,5.1,49,53.3
94571,7911,57.2,60556,71035,117.62,20.72,81.4,4.7,4.7,13.8,48.6,56.3
