zipcode,1br_rent,2br_rent,3br_rent,studio_rent,all_rent,1br_availability,2br_availability,3br_availability,studio_availability
94118,2800.0,3700.0,4995.0,2125.0,3500.0,65,103,37,20
94121,2400.0,3200.0,4000.0,1745.0,2750.0,69,67,19,14
94122,2400.0,3300.0,3900.0,2000.0,2995.0,82,77,38,19
94123,3200.0,4995.0,7250.0,2350.0,3600.0,113,93,23,39
94124,1925.0,2872.0,3350.0,,2990.0,4,22,9,1
94127,2325.0,3500.0,4800.0,,3700.0,12,7,19,1
94128,,,,,,0,0,0,0
94129,3362.0,5605.0,,,3751.0,9,7,0,0
94130,3690.0,,,,3690.0,5,0,0,0
94131,2895.0,3800.0,5550.0,2125.0,3695.0,49,50,37,10
94132,2580.0,3137.0,4170.0,1949.0,2850.0,42,30,26,5
94133,3000.0,4600.0,6550.0,2459.0,3575.0,74,73,13,16
94134,1425.0,2800.0,3500.0,1845.0,2700.0,11,27,17,4
94158,3635.0,4849.0,,3207.0,3818.0,62,42,0,9
94301,2825.0,3825.0,5650.0,2195.0,3500.0,46,52,20,16
94303,1894.0,2595.0,4725.0,1565.0,2440.0,52,16,40,16
94304,2875.0,4475.0,,2660.0,3765.0,5,9,0,3
94305,,4000.0,,,3750.0,1,3,0,0
94306,2095.0,3400.0,4900.0,1945.0,2950.0,76,92,34,14
94401,2250.0,2950.0,4249.0,1775.0,2559.0,79,77,8,8
94402,2312.0,2898.0,5022.0,1980.0,2700.0,24,42,10,6
94403,2529.0,3317.0,3662.0,1943.0,3000.0,97,125,58,17
94404,2503.0,3071.0,4200.0,2019.0,2763.0,259,248,25,5
94501,1750.0,2150.0,2950.0,2067.0,2050.0,71,67,21,17
94502,2378.0,,,,2970.0,5,1,1,0
94503,1667.0,1619.0,1999.0,,1697.0,3,7,4,0
94505,,,2075.0,,1950.0,1,2,4,0
94506,,2308.0,3650.0,,2315.0,1,14,9,0
94507,,,3750.0,,3350.0,1,1,6,0
94508,,,,975.0,932.0,1,0,0,3
94509,1050.0,1295.0,1595.0,,1385.0,27,55,39,2
94510,1250.0,1650.0,2200.0,,1650.0,16,24,15,0
94511,,,,,,0,1,0,1
94512,,,,,,0,0,0,0
94513,1362.0,1595.0,1950.0,,1850.0,6,7,23,1
94514,,,,,,0,0,2,0
94515,1147.0,3400.0,2600.0,,2500.0,4,5,5,0
94516,,,,,,0,0,0,0
94517,,,2600.0,,2600.0,0,1,3,1
94518,1574.0,1886.0,2050.0,,1870.0,18,26,10,0
94519,,1572.0,2147.0,,2100.0,1,4,18,0
94520,1350.0,1605.0,2300.0,1045.0,1645.0,63,78,14,4
94521,1400.0,1700.0,2237.0,,1795.0,10,24,16,1
94523,1830.0,2278.0,2905.0,1555.0,2198.0,62,125,26,10
94525,,,2500.0,,1562.0,1,2,3,0
94526,,2265.0,3500.0,,2265.0,1,15,9,0
94528,,,,,,0,0,0,0
94530,1703.0,2187.0,2850.0,1120.0,1900.0,14,22,8,5
94531,1771.0,1737.0,1850.0,,1795.0,18,14,18,0
94533,987.0,1392.0,1595.0,,1275.0,34,55,21,1
94534,1470.0,1754.0,2175.0,,1714.0,10,7,8,1
94535,,,,,,0,0,0,0
94536,2052.0,2500.0,2650.0,1495.0,2359.0,90,118,25,5
94538,2144.0,2570.0,2985.0,1612.0,2340.0,165,147,40,8
94539,2187.0,2750.0,3200.0,,2750.0,6,13,10,0
94541,1810.0,2135.0,2287.0,1757.0,1975.0,51,81,10,7
94542,1691.0,2450.0,,,1930.0,11,13,1,0
94544,1635.0,1965.0,2300.0,,1841.0,110,89,31,1
94545,1595.0,1909.0,2297.0,,1946.0,11,13,18,2
94546,1530.0,1910.0,2345.0,,1845.0,40,59,16,2
94547,,1625.0,2600.0,,1850.0,0,8,6,0
94548,,,,,,0,0,0,0
94549,1850.0,2380.0,3639.0,1300.0,2350.0,17,39,8,3
94550,1705.0,2250.0,2635.0,,2234.0,12,47,13,0
94551,1471.0,1811.0,2885.0,,1953.0,10,22,18,2
94552,,,3092.0,,2990.0,1,0,4,0
94553,1581.0,1825.0,2600.0,1050.0,1669.0,37,43,4,5
94555,1550.0,2385.0,2900.0,,2400.0,5,18,16,2
94556,1425.0,2200.0,2975.0,,2400.0,3,11,9,0
94558,1483.0,2200.0,2500.0,1125.0,2175.0,22,45,41,4
94559,1212.0,1770.0,2697.0,,1995.0,22,33,32,0
94560,2197.0,2525.0,2750.0,,2444.0,33,58,12,0
94561,,,1700.0,,1685.0,1,0,13,0
94563,1850.0,3000.0,3625.0,,2500.0,6,5,6,2
94564,1025.0,1500.0,2345.0,,1843.0,4,5,7,1
94565,1200.0,1450.0,1800.0,911.0,1527.0,17,30,39,4
94566,1838.0,2114.0,3100.0,,2084.0,108,100,27,2
94567,,,,,,0,0,1,0
94568,2154.0,2612.0,3106.0,1995.0,2397.0,98,110,57,3
94569,,,,,,0,0,0,1
94571,,,,,,0,2,0,0
94572,,1450.0,,,1450.0,1,4,1,1
94573,,,,,,0,0,0,0
94574,1575.0,2049.0,,,1925.0,4,8,2,0
94575,,,,,,0,0,0,0
94576,,,,,,0,0,0,0
94577,1500.0,1772.0,2300.0,,1707.0,26,40,8,2
94578,1337.0,1812.0,2350.0,,1695.0,18,30,11,2
94579,1102.0,1895.0,2400.0,,1997.0,4,10,8,0
94580,1375.0,1700.0,2300.0,,1700.0,6,11,9,1
94582,1865.0,2357.0,3300.0,1592.0,2163.0,44,42,33,3
94583,1925.0,2295.0,3400.0,,2314.0,26,51,33,0
94585,1092.0,1390.0,1537.0,,1320.0,6,5,6,0
94586,,,,,,0,1,0,1
94587,2010.0,2228.0,2760.0,1731.0,2175.0,44,78,14,11
94588,2032.0,2362.0,3355.0,,2299.0,46,51,25,0
94589,985.0,1100.0,1762.0,,1147.0,4,14,10,0
94590,1000.0,1400.0,1500.0,775.0,1350.0,47,69,47,8
94591,1105.0,1537.0,1600.0,,1500.0,30,72,38,0
94592,,,,,,0,0,0,1
94595,1750.0,1895.0,3150.0,,1850.0,9,7,4,1
94596,1750.0,1995.0,2500.0,1625.0,1916.0,51,63,5,5
94597,1938.0,2250.0,3175.0,1810.0,2194.0,37,63,11,7
94598,1745.0,2247.0,3295.0,,2375.0,5,24,13,0
94599,,,,,,0,1,1,0
94601,1250.0,1750.0,2450.0,1015.0,1450.0,35,31,9,12
94602,1575.0,1887.0,3185.0,,1875.0,23,18,7,1
94603,1347.0,1500.0,1850.0,,1595.0,4,17,6,0
94605,1300.0,1800.0,2650.0,1450.0,1725.0,27,41,16,3
94606,1650.0,2200.0,1950.0,1200.0,1795.0,48,45,13,17
94607,2200.0,3048.0,2400.0,1600.0,2325.0,59,46,14,5
94608,2760.0,3177.0,3200.0,2088.0,2810.0,167,109,21,20
94609,1800.0,2500.0,3150.0,1572.0,2195.0,47,23,14,8
94610,1892.0,2595.0,3800.0,1550.0,1962.0,90,37,6,9
94611,1850.0,2400.0,3975.0,1495.0,2100.0,49,30,19,14
94612,2367.0,3831.0,3897.0,2149.0,2646.0,49,34,9,18
94613,,,,,,0,1,0,0
94618,2600.0,3150.0,5200.0,1575.0,2725.0,16,18,7,15
94619,1375.0,1750.0,2745.0,1325.0,1595.0,12,12,9,4
94621,1100.0,1549.0,,,1500.0,3,12,1,1
94702,1750.0,2700.0,3450.0,1350.0,2545.0,25,34,24,9
94703,1995.0,2300.0,3095.0,1545.0,2185.0,35,36,11,6
94704,1800.0,2974.0,3450.0,1595.0,2500.0,88,134,38,48
94705,1866.0,2695.0,3495.0,1695.0,2595.0,16,15,14,7
94706,1700.0,2400.0,,,2100.0,16,21,2,0
94707,1732.0,3125.0,3750.0,,2700.0,8,4,7,1
94708,1800.0,3925.0,4625.0,1412.0,3045.0,6,6,6,6
94709,2097.0,2991.0,3745.0,1695.0,2295.0,62,42,18,15
94710,2260.0,2950.0,,,2450.0,26,17,2,2
94720,,,,,,0,0,0,0
94801,1650.0,1500.0,2200.0,850.0,1972.0,12,16,19,3
94803,1200.0,1450.0,2100.0,,1722.0,3,17,16,2
94804,1500.0,2030.0,2375.0,,2000.0,20,49,24,2
94805,1320.0,1775.0,2000.0,995.0,1450.0,8,6,5,3
94806,1400.0,1800.0,2197.0,1075.0,1744.0,14,19,14,4
94901,2133.0,2460.0,3775.0,1600.0,2235.0,96,54,20,13
94903,2062.0,2822.0,3875.0,,2547.0,30,32,15,1
94904,2000.0,3100.0,4245.0,,2950.0,8,12,8,1
94920,2900.0,3900.0,7200.0,,3902.0,11,33,17,1
94922,,,,,,0,0,0,0
94923,,1850.0,,,1850.0,0,4,0,0
94924,,,,,,0,2,0,0
94925,2098.0,3000.0,4460.0,,3000.0,15,13,17,0
94928,1450.0,1925.0,2300.0,,1735.0,57,53,22,2
94929,,,,,,0,0,0,0
94930,1775.0,2350.0,3725.0,,2350.0,5,8,4,0
94931,1100.0,1450.0,2375.0,,1550.0,3,12,12,2
94933,,,,,2250.0,2,0,1,0
94937,,,,,,0,0,1,0
94938,,,,,,0,1,0,0
94939,2850.0,3395.0,3375.0,,3250.0,20,37,4,0
94940,,,,,,0,0,0,1
94941,2385.0,2795.0,4700.0,1732.0,2900.0,18,31,23,7
