"","zipcode","X1br_rent","X2br_rent","X3br_rent","studio_rent","all_rent","X1br_availability","X2br_availability","X3br_availability","studio_availability","missing_X1br_rent","missing_X2br_rent","missing_X3br_rent","missing_studio_rent","missing_all_rent","zipcode.1","X1br_rent.1","X2br_rent.1","X3br_rent.1","studio_rent.1","all_rent.1","X1br_availability.1","X2br_availability.1","X3br_availability.1","studio_availability.1","missing_X1br_rent.1","missing_X2br_rent.1","missing_X3br_rent.1","missing_studio_rent.1","missing_all_rent.1"
"1",94118,2800,3700,4995,2125,3500,65,103,37,20,FALSE,FALSE,FALSE,FALSE,FALSE,94118,2800,3700,4995,2125,3500,65,103,37,20,FALSE,FALSE,FALSE,FALSE,FALSE
"2",94121,2400,3200,4000,1745,2750,69,67,19,14,FALSE,FALSE,FALSE,FALSE,FALSE,94121,2400,3200,4000,1745,2750,69,67,19,14,FALSE,FALSE,FALSE,FALSE,FALSE
"3",94122,2400,3300,3900,2000,2995,82,77,38,19,FALSE,FALSE,FALSE,FALSE,FALSE,94122,2400,3300,3900,2000,2995,82,77,38,19,FALSE,FALSE,FALSE,FALSE,FALSE
"4",94123,3200,4995,7250,2350,3600,113,93,23,39,FALSE,FALSE,FALSE,FALSE,FALSE,94123,3200,4995,7250,2350,3600,113,93,23,39,FALSE,FALSE,FALSE,FALSE,FALSE
"5",94124,1925,2872,3350,1842.55477850123,2990,4,22,9,1,FALSE,FALSE,FALSE,TRUE,FALSE,94124,1925,2872,3350,1702.77542930939,2990,4,22,9,1,FALSE,FALSE,FALSE,TRUE,FALSE
"6",94127,2325,3500,4800,1953.18725043509,3700,12,7,19,1,FALSE,FALSE,FALSE,TRUE,FALSE,94127,2325,3500,4800,1707.87723772953,3700,12,7,19,1,FALSE,FALSE,FALSE,TRUE,FALSE
"7",94128,1641.71226323618,3151.10424126264,3531.26965488282,1494.06478577007,2711.4137016575,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,94128,1910.88522662697,2892.75977681897,3582.25713178966,1921.76841663021,2424.63497509929,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE
"8",94129,3362,5605,5050.24336036412,2997.86314573928,3751,9,7,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,94129,3362,5605,6781.05118812096,2593.07401696092,3751,9,7,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
"9",94130,3690,4440.03056987021,4612.15580098611,2802.83538799582,3690,5,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,94130,3690,4872.24732249215,6310.73381059717,2390.34851685991,3690,5,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE
"10",94131,2895,3800,5550,2125,3695,49,50,37,10,FALSE,FALSE,FALSE,FALSE,FALSE,94131,2895,3800,5550,2125,3695,49,50,37,10,FALSE,FALSE,FALSE,FALSE,FALSE
"11",94132,2580,3137,4170,1949,2850,42,30,26,5,FALSE,FALSE,FALSE,FALSE,FALSE,94132,2580,3137,4170,1949,2850,42,30,26,5,FALSE,FALSE,FALSE,FALSE,FALSE
"12",94133,3000,4600,6550,2459,3575,74,73,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,94133,3000,4600,6550,2459,3575,74,73,13,16,FALSE,FALSE,FALSE,FALSE,FALSE
"13",94134,1425,2800,3500,1845,2700,11,27,17,4,FALSE,FALSE,FALSE,FALSE,FALSE,94134,1425,2800,3500,1845,2700,11,27,17,4,FALSE,FALSE,FALSE,FALSE,FALSE
"14",94158,3635,4849,5561.13091925019,3207,3818,62,42,0,9,FALSE,FALSE,TRUE,FALSE,FALSE,94158,3635,4849,6351.20759131275,3207,3818,62,42,0,9,FALSE,FALSE,TRUE,FALSE,FALSE
"15",94301,2825,3825,5650,2195,3500,46,52,20,16,FALSE,FALSE,FALSE,FALSE,FALSE,94301,2825,3825,5650,2195,3500,46,52,20,16,FALSE,FALSE,FALSE,FALSE,FALSE
"16",94303,1894,2595,4725,1565,2440,52,16,40,16,FALSE,FALSE,FALSE,FALSE,FALSE,94303,1894,2595,4725,1565,2440,52,16,40,16,FALSE,FALSE,FALSE,FALSE,FALSE
