"zip","1br_rent","2br_rent","3br_rent","studio_rent","all_rent","1br_availability","2br_availability","3br_availability","studio_availability","population","population_density","median_household_income","mean_household_income","land_area","water_area","white","black","asian","hispanic","male_population","median_age"
"93635","","","","","","0","1","1","0","38776","144.8","48542","61533","259.19","8.53","59.4","3.6","3.1","64.1","50.1","30.2"
"94002","2175.0","2700.0","3950.0","2075.0","2485.0","39","33","17","17","25992","4582.5","102611","130855","5.66","0.01","67.5","1.6","19.9","11.7","48.8","40.9"
"94005","2000.0","2900.0","","1570.0","2400.0","3","6","1","3","4282","937.3","79171","113108","4.4","0.17","60.2","1.9","25.3","16.6","50.2","41.7"
"94010","2197.0","2937.0","4795.0","1850.0","2397.0","62","48","11","13","40737","3416.6","96786","175786","11.84","0.09","67.6","1","22.4","10.8","47.9","42.3"
"94014","1800.0","3125.0","2900.0","1650.0","2679.0","33","35","29","4","47014","7454.3","68495","84273","6.31","0","24.9","3.5","49","34.2","49.6","37.5"
"94015","1900.0","2745.0","3500.0","1725.0","2200.0","37","32","18","13","60927","10575.5","76954","91355","5.76","0","24","3.5","59","16.2","49.1","39.1"
"94019","2700.0","3425.0","3500.0","","3375.0","6","10","5","1","18424","346.6","96172","131635","52.6","0.56","76.8","0.8","3.9","29.7","49.3","42.3"
"94020","","","","","","1","0","0","0","1559","27.9","122024","142744","55.77","0.03","88.1","1.1","2.6","8.5","52.7","48.6"
"94021","","","","","","0","0","0","0","192","42.4","91458","83749","4.53","0","88","1","3.1","15.6","49","38"
"94022","3500.0","3700.0","5495.0","","3897.0","7","12","11","0","18500","1057.9","154243","234872","17.49","0","71","0.5","23.6","3.3","48.3","48.2"
"94024","1895.0","3100.0","5000.0","","3325.0","11","8","11","2","22385","3065.8","166742","228696","7.3","0","69.3","0.5","24.7","4","48.9","46.3"
"94025","2325.0","3280.0","4703.0","1850.0","2995.0","68","95","34","23","40526","3447.7","114149","171793","11.75","0","71","4.1","9.7","19","48.7","39"
"94027","2975.0","3000.0","","","2987.0","5","5","1","1","7089","1355.6","218214","391327","5.2","0.03","80.5","1.1","13.2","4","49","48.3"
"94028","","","","","3400.0","1","2","2","1","6534","425.8","162271","320475","15.24","0.11","89.4","0.4","5.9","4.7","49.5","50"
"94030","1937.0","3395.0","4295.0","","3395.0","12","36","14","1","21536","6337.4","86364","108474","3.39","0.01","47.3","0.8","42.7","11.9","47.4","44.8"
"94037","","","","","","1","1","0","0","2913","503.5","119537","128776","5.79","0","85.5","0.6","4.9","11.3","48.1","46"
"94038","","","3800.0","","3800.0","0","0","3","0","3040","1929","80469","111481","1.58","0","73.6","0.8","3.8","29.2","49.8","43.1"
"94040","2150.0","2795.0","4250.0","1775.0","2395.0","163","102","19","21","32996","8944.6","95072","123840","3.69","0","55.5","1.8","27.2","20.8","50.8","35.7"
"94041","2411.0","3100.0","4900.0","1587.0","3000.0","56","59","21","4","13292","8688.8","87231","122034","1.53","0","59.9","2.2","21.6","24.8","51.6","35.3"
"94043","2250.0","2995.0","4387.0","1825.0","2975.0","65","97","54","15","28358","2656.8","94038","118828","10.67","0","55.2","3.1","26","21","50.7","36.2"
"94044","2297.0","2665.0","3350.0","2618.0","2600.0","36","88","14","7","37296","2542.8","96014","113061","14.67","0","64.9","2.6","19.4","16.8","48.9","41.5"
"94060","","","","","","0","0","0","0","1554","21.2","101319","134588","72.95","0.34","63.4","1","0.9","51.6","54.3","38"
"94061","2170.0","2795.0","4172.0","1525.0","2350.0","51","43","12","8","36245","9385.7","75033","99343","3.86","0","65","2.2","6.4","38.7","48.9","37"
"94062","2100.0","3200.0","4275.0","1795.0","2335.0","43","11","18","7","25876","360.3","122260","192162","70.89","0.94","81.7","1.1","6.7","14.5","49.1","44.8"
"94063","3050.0","3772.0","4605.0","1700.0","3420.0","71","70","23","8","30949","3906.3","51690","70811","6.82","1.1","46","2.9","4.9","71","53.4","31"
"94065","2560.0","3450.0","","","3195.0","12","15","0","0","11359","3673.4","133981","155720","2.44","0.65","54","1.9","35.8","7.7","47.7","40.1"
"94066","2860.0","3195.0","3575.0","1575.0","2950.0","77","53","16","11","41130","6706","78521","94655","6.13","0","49.5","2.3","25.4","29.2","49.3","38.8"
"94070","1875.0","2600.0","3900.0","1737.0","1997.0","33","31","10","6","29166","4747.2","120579","155509","6.14","0","79.3","0.8","11.5","10","48.3","42.7"
"94074","","","","","","0","0","0","0","214","11.5","162950","116295","18.54","0.03","87.9","0.5","5.6","9.4","56.5","43"
"94080","1975.0","2700.0","3495.0","","2665.0","26","39","25","0","63975","6158.2","73927","90882","10.28","0.11","37.4","2.5","36.6","34","49.4","38.1"
"94085","2322.0","3045.0","3250.0","1795.0","2619.0","66","71","21","11","21247","6087.9","94870","102730","3.49","0","39.9","2","34.3","36.8","52.5","32.1"
"94086","2314.0","2716.0","3619.0","1860.0","2454.0","182","155","28","7","45697","10187.2","92931","111753","4.49","0","39.8","2.5","42","21.3","51.2","33.8"
"94087","2199.0","2764.0","4000.0","1802.0","2764.0","55","62","41","4","54293","8248","110348","135069","6.58","0","47.2","1.4","43.1","9","49.2","38.8"
"94089","2556.0","3404.0","3219.0","2625.0","2902.0","55","41","14","4","19245","3205","80625","96423","5.99","0.01","41.9","2.3","39.1","22.2","49.4","37.4"
"94102","3497.0","4687.0","6075.0","2195.0","3495.0","142","94","6","96","31176","46472.4","22252","48334","0.67","0","45.4","13.9","25.4","18.9","59.9","40.9"
"94103","3600.0","4500.0","5697.0","2576.0","3777.0","201","110","12","50","27170","20036.1","44145","73372","1.36","0","47.1","11","25.6","21.9","60.1","39.3"
"94104","","","","","","0","2","0","0","406","5232.1","26223","96572","0.08","0","34.5","3","55.7","7.6","53.7","47.6"
"94105","3950.0","6000.0","6300.0","3112.0","4307.0","112","87","7","22","5846","12966.2","142389","211655","0.37","0.08","56.7","2.2","34.9","5.9","56.2","35.5"
